# Pathway	AA_combined_Abundance	B1_combined_Abundance	C1_combined_Abundance	D1_combined_Abundance	E1_combined_Abundance	F1_combined_Abundance
UNMAPPED	3161517.5953546334	2085854.6948184932	6633708.622266029	5125706.22030181	6626716.075243076	5940731.943548616
UNINTEGRATED	16550952.362259852	9099558.82847991	36346160.211190715	26994091.531207692	35157857.0731554	29489156.093696028
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_plantarum	14899572.568819284	740429.2265569741	12218059.155516716	5615525.390581565	10264621.934679331	1000055.7752443736
UNINTEGRATED|g__Saccharomyces.s__Saccharomyces_cerevisiae	1529987.4421089047	351599.7673267799	5175275.885640925	5541298.294463352	6905339.997828388	7595101.853877835
UNINTEGRATED|unclassified	1412932.159451676	268512.4579892234	2306540.564194191	1570817.410593742	2217125.4078561086	1374583.8350248733
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_brevis	337916.0944333883	14413236.100522295	18100669.09853506	16526379.740210615	16208217.798345914	29248600.395987406
UNINTEGRATED|g__Pantoea.s__Pantoea_agglomerans	3354.1345813865	6043.5366816538	0	0	0	0
UNINTEGRATED|g__Pantoea.s__Pantoea_vagans	2329.9860449994	5574.4039357828	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	35695.9825256466	954.051549546	27054.4821256486	13687.4148955038	24537.2979111041	1508.8297045032
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lactobacillus.s__Lactobacillus_plantarum	33545.2935468987	798.1077697042	24740.2753343405	11825.4132509151	21966.6796302466	46.9703883937
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Saccharomyces.s__Saccharomyces_cerevisiae	251.8950134492	47.445702915	801.5312742834	938.1369390371	1169.2343123323	1214.5393117987
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	21.2013567087	12.5583723246	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	35695.9825256466	954.051549546	27054.4821256486	13687.4148955038	24537.2979111041	1508.8297045032
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Lactobacillus.s__Lactobacillus_plantarum	33545.2935468987	798.1077697042	24740.2753343405	11825.4132509151	21966.6796302466	46.9703883937
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Saccharomyces.s__Saccharomyces_cerevisiae	251.8950134492	47.445702915	801.5312742834	938.1369390371	1169.2343123323	1214.5393117987
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	21.2013567087	12.5583723246	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	31817.5041139015	755.4634252581	24177.1975767235	11887.2869535535	22137.5357091234	1426.2444411805
